"STATION","NAME","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-01-18","11.63",",,W","0.00",",,0,2400","   95",",,W","0.0",",,0","8.0",",,Z",,,"28",",,0","7",",,0","  553",",,W",,,"34.9",",,X","42.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-01-19","7.38",",,W","0.00",",,0,2400","   92",",,W","0.0",",,0","8.0",",,Z",,,"28",",,0","5",",,0","  541",",,W",,,"17.9",",,X","19.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-01-20","4.92",",,W","0.02",",,0,2400","    0",",,W","0.5",",,0","8.0",",,Z",,,"27",",,0","8",",,0","    0",",,W",,,"16.1",",,X","16.1",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,0",,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-01-21","13.65",",,W","0.17",",,0,2400","    0",",,W","5.6",",,0","8.0",",,Z",,,"27",",,0","12",",,0","    0",",,W",,,"34.9",",,X","40.0",",,X","    1",",,0","    1",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,0",,,"    1",",,X"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-01-22","9.84",",,W","0.00",",,0,2400","   92",",,W","0.0",",,0","14.0",",,0",,,"30",",,0","0",",,0","  546",",,W",,,"17.9",",,X","23.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-01-23","11.41",",,W","0.00",",,0,2400","   91",",,W","0.0",",,0","13.0",",,Z",,,"34",",,0","17",",,0","  537",",,W",,,"21.0",",,X","23.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-01-24","11.63",",,W","0.00",",,0,2400","   96",",,W","0.0",",,0","9.0",",,0",,,"36",",,0","19",",,0","  571",",,W",,,"19.9",",,X","19.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-01-25","11.41",",,W","0.00",",,0,2400","   96",",,W","0.0",",,0","9.0",",,0",,,"39",",,0","26",",,0","  575",",,W",,,"19.9",",,X","21.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-01-26","6.71",",,W","0.00",",,0,2400","   97",",,W","0.0",",,0","7.0",",,0",,,"42",",,0","17",",,0","  580",",,W",,,"16.1",",,X","17.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-01-27","7.61",",,W","0.06",",,0,2400","   60",",,W","1.5",",,0","7.0",",,0",,,"30",",,0","2",",,0","  363",",,W",,,"17.0",",,X","19.9",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,0",,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-01-28","12.97",",,W","0.00",",,0,2400","   97",",,W","0.0",",,0","8.0",",,Z",,,"35",",,0","6",",,0","  582",",,W",,,"23.0",",,X","28.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-01-29","12.08",",,W","0.00",",,0,2400","   94",",,W","0.0",",,0","8.0",",,Z",,,"25",",,0","7",",,0","  570",",,W",,,"21.0",",,X","21.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-01-30","8.50",",,W","0.00",",,0,2400","   88",",,W","0.0",",,0","8.0",",,Z",,,"25",",,0","3",",,0","  531",",,W",,,"14.1",",,X","16.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-01-31","8.72",",,W","0.00","T,,0,2400","   53",",,W","0.0","T,,0","8.0",",,Z",,,"20",",,0","4",",,0","  320",",,W",,,"17.0",",,X","17.9",",,X","    1",",,0",,,,,,,,,,,,,"    1",",,0",,,,,,,"    1",",,X",,,,,,,,,"    1",",,0",,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-02-01","11.18",",,W","0.02",",,0,2400","    0",",,W","2.6",",,0","8.0",",,0",,,"18",",,0","-8",",,0","    0",",,W",,,"31.1",",,X","33.1",",,X","    1",",,0","    1",",,X",,,,,,,,,,,"    1",",,W",,,,,,,"    1",",,X",,,,,,,,,"    1",",,0",,,"    1",",,X"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-02-02","11.86",",,W","0.00","T,,0,2400","   61",",,W","0.0","T,,0","11.0",",,0",,,"27",",,0","-18",",,0","  374",",,W",,,"29.1",",,X","36.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-02-03","10.29",",,W","0.00",",,0,2400","   93",",,W","0.0",",,0","11.0",",,0",,,"35",",,0","3",",,0","  573",",,W",,,"19.9",",,X","23.9",",,X","    1",",,0","    1",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,"    1",",,X"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-02-04","6.93",",,W","0.00",",,0,2400","   93",",,W","0.0",",,0","10.0",",,0",,,"43",",,0","1",",,0","  567",",,W",,,"15.0",",,X","16.1",",,X","    1",",,0","    1",",,X",,,,,,,,,,,"    1",",,W",,,,,,,"    1",",,X",,,,,,,,,,,,,"    1",",,X"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-02-05","10.96",",,W","0.00",",,0,2400","   97",",,W","0.0",",,0","8.0",",,0",,,"50",",,0","27",",,0","  601",",,W",,,"21.0",",,X","21.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-02-06","11.41",",,W","0.00",",,0,2400","   96",",,W","0.0",",,0","8.0",",,0",,,"53",",,0","32",",,0","  594",",,W",,,"21.9",",,X","25.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-02-07","6.49",",,W","0.00",",,0,2400","   86",",,W","0.0",",,0","7.0",",,0",,,"38",",,0","26",",,0","  538",",,W",,,"14.1",",,X","15.0",",,X","    1",",,W",,,,,,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-02-08","5.37",",,W","0.00","T,,0,2400","   66",",,W","0.0",",,0","7.0",",,0",,,"45",",,0","20",",,0","  412",",,W",,,"17.9",",,X","23.0",",,X","    1",",,0","    1",",,X",,,,,,,"    1",",,0",,,"    1",",,0",,,,,,,,,"    1",",,X","    1",",,X","    1",",,0",,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-02-09","7.61",",,W","0.00",",,0,2400","   78",",,W","0.0",",,0","7.0",",,0",,,"34",",,0","19",",,0","  488",",,W",,,"21.0",",,X","23.0",",,X","    1",",,0","    1",",,X",,,,,,,,,,,"    1",",,0",,,,,,,"    1",",,X",,,,,,,,,,,,,"    1",",,X"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-02-10","5.59",",,W","0.00",",,0,2400","   95",",,W","0.0",",,0","7.0",",,0",,,"38",",,0","16",",,0","  599",",,W",,,"17.0",",,X","21.0",",,X","    1",",,0","    1",",,X",,,,,,,,,,,"    1",",,0",,,,,,,"    1",",,X",,,,,,,,,,,,,"    1",",,X"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-02-11","6.04",",,W","0.00",",,0,2400","   87",",,W","0.0",",,0","6.0",",,0",,,"50",",,0","30",",,0","  552",",,W",,,"17.9",",,X","21.9",",,X","    1",",,0",,,,,,,,,,,,,"    1",",,W",,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-02-12","10.07",",,W","0.00","T,,0,2400","   80",",,W","0.0","T,,0","4.0",",,0",,,"39",",,0","19",",,0","  509",",,W",,,"28.0",",,X","31.1",",,X","    1",",,0","    1",",,X",,,,,,,"    1",",,0",,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,0",,,"    1",",,0",,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-02-13","10.29",",,W","0.03",",,0,2400","    0",",,W","1.2",",,0","3.0",",,0",,,"19",",,0","10",",,0","    0",",,W",,,"16.1",",,X","17.0",",,X","    1",",,0",,,,,,,,,,,,,"    1",",,W",,,,,,,"    1",",,X",,,,,,,,,"    1",",,0",,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-02-14","3.58",",,W","0.02",",,0,2400","   28",",,W","0.9",",,0","4.0",",,0",,,"18",",,0","4",",,0","  182",",,W",,,"8.9",",,X","10.1",",,X","    1",",,0","    1",",,X",,,,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,X"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-02-15","10.07",",,W","0.01",",,0,2400","   94",",,W","0.4",",,0","5.0",",,0",,,"36",",,0","2",",,0","  604",",,W",,,"19.9",",,X","23.0",",,X","    1",",,0","    1",",,X",,,,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,X"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-02-16","25.95",",,W","0.00","T,,0,2400","   29",",,W","0.0","T,,0","4.0",",,0",,,"45",",,0","30",",,0","  187",",,W",,,"47.0",",,X","55.9",",,X","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-02-17","10.51",",,W","0.00",",,0,2400","   97",",,W","0.0",",,0","3.0",",,0",,,"36",",,0","23",",,0","  625",",,W",,,"23.9",",,X","29.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-02-18","12.30",",,W","0.00",",,0,2400","   91",",,W","0.0",",,0","3.0",",,0",,,"50",",,0","26",",,0","  589",",,W",,,"21.9",",,X","23.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-02-19","8.50",",,W","0.00",",,0,2400","   75",",,W","0.0",",,0","2.0",",,0",,,"44",",,0","28",",,0","  489",",,W",,,"17.9",",,X","21.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-02-20","10.51",",,W","0.00",",,0,2400","   91",",,W","0.0",",,0","0.0","T,,0",,,"50",",,0","25",",,0","  593",",,W",,,"23.0",",,X","29.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-02-21","9.84",",,W","0.00",",,0,2400","   94",",,W","0.0",",,0","0.0","T,,0",,,"47",",,0","31",",,0","  618",",,W",,,"17.9",",,X","23.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-02-22","5.37",",,W","0.00",",,0,2400","   97",",,W","0.0",",,0","0.0",",,0",,,"41",",,0","27",",,0","  638",",,W",,,"14.1",",,X","16.1",",,X","    1",",,0",,,,,,,,,,,,,"    1",",,W",,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-02-23","16.78",",,W","0.00",",,0,2400","   95",",,W","0.0",",,0","0.0",",,0",,,"58",",,0","23",",,0","  632",",,W",,,"33.1",",,X","38.0",",,X","    1",",,0","    1",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,"    1",",,X"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-02-24","23.26",",,W","0.14",",,0,2400","   76",",,W","0.4",",,0","0.0","T,,0",,,"39",",,0","20",",,0","  506",",,W",,,"48.1",",,X","59.9",",,X","    1",",,0","    1",",,X",,,,,,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,X"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-02-25","8.28",",,W","0.00",",,0,2400","   89",",,W","0.0",",,0","0.0",",,0",,,"41",",,0","14",",,0","  595",",,W",,,"16.1",",,X","17.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-02-26","10.07",",,W","0.00",",,0,2400","   93",",,W","0.0",",,0","0.0",",,0",,,"50",",,0","24",",,0","  620",",,W",,,"28.0",",,X","33.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-02-27","7.83",",,W","0.00",",,0,2400","   91",",,W","0.0",",,0","0.0",",,0",,,"51",",,0","23",",,0","  613",",,W",,,"17.0",",,X","19.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-02-28","10.07",",,W","0.14",",,0,2400","    0",",,W","1.9",",,0","0.0",",,0",,,"32",",,0","21",",,0","    0",",,W",,,"21.0",",,X","25.9",",,X","    1",",,0","    1",",,W",,,,,,,,,,,"    1",",,W",,,,,,,"    1",",,X",,,,,,,,,"    1",",,0",,,"    1",",,X"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-03-01","17.67",",,W","0.00",",,0,2400","   63",",,W","0.0",",,0","1.0",",,0",,,"36",",,0","17",",,0","  426",",,W",,,"36.9",",,X","44.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-03-02","16.11",",,W","0.00",",,0,2400","   78",",,W","0.0",",,0","1.0",",,0",,,"31",",,0","21",",,0","  531",",,W",,,"29.1",",,X","34.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-03-03","8.28",",,W","0.00",",,0,2400","   97",",,W","0.0",",,0","1.0",",,0",,,"38",",,0","18",",,0","  660",",,W",,,"19.9",",,X","23.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-03-04","10.74",",,W","0.00",",,0,2400","   98",",,W","0.0",",,0","0.0",",,0",,,"48",",,0","21",",,0","  667",",,W",,,"19.9",",,X","25.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-03-05","7.38",",,W","0.00",",,0,2400","   82",",,W","0.0",",,0","0.0",",,0",,,"60",",,0","30",",,0","  562",",,W",,,"15.0",",,X","19.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-03-06","6.49",",,W","0.00",",,0,2400","   84",",,W","0.0",",,0","0.0",",,0",,,"60",",,0","35",",,0","  579",",,W",,,"15.0",",,X","17.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-03-07","9.62",",,W","0.00",",,0,2400","   95",",,W","0.0",",,0","0.0",",,0",,,"61",",,0","35",",,0","  660",",,W",,,"19.9",",,X","25.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-03-08","11.63",",,W","0.00",",,0,2400","   31",",,W","0.0",",,0","0.0",",,0",,,"62",",,0","36",",,0","  217",",,W",,,"31.1",",,X","38.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-03-09","8.95",",,W","0.00",",,0,2400","   91",",,W","0.0",",,0","0.0",",,0",,,"63",",,0","29",",,0","  632",",,W",,,"17.9",",,X","21.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-03-10","7.83",",,W","0.17",",,0,2400","   59",",,W","0.0",",,0","0.0",",,0",,,"56",",,0","39",",,0","  412",",,W",,,"19.9",",,X","23.0",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-03-11","7.16",",,W","0.00",",,0,2400","   93",",,W","0.0",",,0","0.0",",,0",,,"58",",,0","34",",,0","  651",",,W",,,"14.1",",,X","16.1",",,X","    1",",,0","    1",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-03-12","10.74",",,W","0.00",",,0,2400","   98",",,W","0.0",",,0","0.0",",,0",,,"71",",,0","40",",,0","  690",",,W",,,"19.9",",,X","23.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-03-13","10.07",",,W","0.00",",,0,2400","   87",",,W","0.0",",,0","0.0",",,0",,,"74",",,0","44",",,0","  619",",,W",,,"17.9",",,X","21.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-03-14","10.74",",,W","0.00",",,0,2400","   82",",,W","0.0",",,0","0.0",",,0",,,"61",",,0","39",",,0","  583",",,W",,,"23.9",",,X","30.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-03-15","8.50",",,W","0.00",",,0,2400","   36",",,W","0.0",",,0","0.0",",,0",,,"51",",,0","28",",,0","  255",",,W",,,"33.1",",,X","38.9",",,X",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-03-16","8.28",",,W","0.00",",,0,2400","   94",",,W","0.0",",,0","0.0",",,0",,,"69",",,0","28",",,0","  673",",,W",,,"19.9",",,X","25.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
